note_str,pitch,instrument_family_str
guitar_acoustic_001-082-050,82,guitar
bass_synthetic_120-108-050,108,bass
organ_electronic_120-050-127,50,organ
guitar_electronic_021-026-025,26,guitar
organ_electronic_011-079-075,79,organ
keyboard_electronic_089-044-100,44,keyboard
bass_synthetic_016-080-127,80,bass
keyboard_acoustic_010-084-127,84,keyboard
keyboard_acoustic_011-053-127,53,keyboard
keyboard_electronic_100-040-025,40,keyboard
vocal_synthetic_012-086-100,86,vocal
vocal_synthetic_007-064-025,64,vocal
organ_electronic_002-068-100,68,organ
keyboard_electronic_065-069-025,69,keyboard
guitar_electronic_035-062-127,62,guitar
organ_electronic_111-065-100,65,organ
keyboard_electronic_087-092-050,92,keyboard
string_acoustic_006-075-025,75,string
bass_synthetic_037-092-050,92,bass
reed_acoustic_041-065-127,65,reed
flute_acoustic_030-067-100,67,flute
mallet_electronic_001-105-075,105,mallet
bass_synthetic_004-049-050,49,bass
guitar_electronic_004-061-050,61,guitar
bass_synthetic_130-072-100,72,bass
bass_synthetic_020-067-050,67,bass
string_acoustic_075-056-050,56,string
string_acoustic_069-041-050,41,string
keyboard_electronic_097-047-075,47,keyboard
reed_acoustic_051-052-025,52,reed
bass_synthetic_094-062-050,62,bass
bass_synthetic_077-057-127,57,bass
keyboard_acoustic_009-108-100,108,keyboard
bass_synthetic_079-048-050,48,bass
bass_synthetic_002-095-127,95,bass
mallet_synthetic_003-039-050,39,mallet
brass_acoustic_018-070-127,70,brass
keyboard_electronic_005-078-127,78,keyboard
bass_synthetic_010-107-025,107,bass
bass_synthetic_042-023-075,23,bass
organ_electronic_061-036-025,36,organ
guitar_synthetic_000-071-127,71,guitar
guitar_electronic_009-059-100,59,guitar
bass_synthetic_109-033-100,33,bass
keyboard_electronic_085-097-100,97,keyboard
keyboard_electronic_109-069-025,69,keyboard
flute_synthetic_004-064-025,64,flute
bass_synthetic_090-078-025,78,bass
keyboard_electronic_091-088-127,88,keyboard
organ_electronic_089-033-025,33,organ
bass_synthetic_038-075-075,75,bass
keyboard_electronic_071-094-050,94,keyboard
keyboard_electronic_101-069-050,69,keyboard
bass_synthetic_085-080-050,80,bass
keyboard_electronic_100-033-075,33,keyboard
organ_electronic_024-083-050,83,organ
brass_acoustic_039-064-127,64,brass
keyboard_acoustic_007-034-100,34,keyboard
keyboard_electronic_020-038-075,38,keyboard
bass_synthetic_008-038-075,38,bass
bass_synthetic_052-079-025,79,bass
organ_electronic_025-056-127,56,organ
string_acoustic_052-068-100,68,string
keyboard_electronic_080-057-075,57,keyboard
organ_electronic_016-024-100,24,organ
mallet_electronic_000-012-025,12,mallet
organ_electronic_021-044-025,44,organ
organ_electronic_025-078-100,78,organ
bass_synthetic_102-094-100,94,bass
bass_synthetic_090-027-100,27,bass
bass_synthetic_040-023-050,23,bass
string_acoustic_040-057-075,57,string
guitar_electronic_034-012-100,12,guitar
flute_acoustic_005-088-100,88,flute
keyboard_electronic_045-098-050,98,keyboard
brass_acoustic_009-060-100,60,brass
guitar_synthetic_005-095-127,95,guitar
keyboard_electronic_019-066-100,66,keyboard
mallet_acoustic_010-032-127,32,mallet
bass_synthetic_064-079-050,79,bass
string_acoustic_059-077-127,77,string
brass_acoustic_002-037-025,37,brass
synth_lead_synthetic_003-061-050,61,synth_lead
string_acoustic_054-062-127,62,string
mallet_acoustic_068-033-025,33,mallet
bass_synthetic_010-101-127,101,bass
guitar_synthetic_009-038-100,38,guitar
keyboard_electronic_058-074-025,74,keyboard
bass_synthetic_117-050-127,50,bass
mallet_acoustic_059-105-075,105,mallet
mallet_electronic_008-027-050,27,mallet
organ_electronic_058-065-075,65,organ
reed_acoustic_055-024-075,24,reed
flute_synthetic_006-108-075,108,flute
organ_electronic_000-028-025,28,organ
mallet_acoustic_011-091-075,91,mallet
string_acoustic_035-084-100,84,string
keyboard_electronic_035-057-025,57,keyboard
bass_synthetic_145-010-050,10,bass
brass_acoustic_003-075-075,75,brass
keyboard_electronic_007-084-100,84,keyboard
guitar_electronic_034-088-025,88,guitar
mallet_acoustic_003-067-050,67,mallet
keyboard_electronic_102-100-127,100,keyboard
keyboard_electronic_039-035-025,35,keyboard
keyboard_electronic_070-079-127,79,keyboard
mallet_acoustic_014-031-025,31,mallet
bass_synthetic_023-080-100,80,bass
bass_synthetic_106-072-127,72,bass
reed_acoustic_032-067-075,67,reed
mallet_acoustic_010-077-050,77,mallet
keyboard_electronic_047-064-100,64,keyboard
keyboard_electronic_070-084-127,84,keyboard
bass_synthetic_091-072-127,72,bass
keyboard_electronic_080-072-025,72,keyboard
keyboard_electronic_099-068-100,68,keyboard
flute_acoustic_009-085-025,85,flute
synth_lead_synthetic_012-044-050,44,synth_lead
keyboard_electronic_096-027-025,27,keyboard
bass_synthetic_027-051-100,51,bass
bass_synthetic_003-106-127,106,bass
guitar_acoustic_019-043-025,43,guitar
bass_electronic_032-061-050,61,bass
bass_synthetic_045-089-025,89,bass
